night;group_night;IdLabel;IdRFID;weight;sex;group;discard;cond
56;5;Ind20;04185CE762;10.47;f;mixed4;0;test
56;5;Ind21;04185D008F;8.7;m;mixed4;0;test
56;5;Ind22;04185D12B9;8.89;m;mixed4;0;test
56;5;Ind23;04185D1858;9.95;f;mixed4;0;test
56;5;Ind24;04185D1DE6;9.32;m;mixed4;0;test
57;6;Ind19;04185CDFBF;10.33;f;mixed4;0;test
57;6;Ind20;04185CE762;10.47;f;mixed4;0;test
57;6;Ind21;04185D008F;8.7;m;mixed4;0;test
57;6;Ind22;04185D12B9;8.89;m;mixed4;0;test
57;6;Ind23;04185D1858;9.95;f;mixed4;0;test
57;6;Ind24;04185D1DE6;9.32;m;mixed4;0;test
58;7;Ind19;04185CDFBF;10.33;f;mixed4;0;test
58;7;Ind20;04185CE762;10.47;f;mixed4;0;test
58;7;Ind21;04185D008F;8.7;m;mixed4;0;test
58;7;Ind22;04185D12B9;8.89;m;mixed4;0;test
58;7;Ind23;04185D1858;9.95;f;mixed4;0;test
58;7;Ind24;04185D1DE6;9.32;m;mixed4;0;test
59;8;Ind19;04185CDFBF;10.33;f;mixed4;0;test
59;8;Ind20;04185CE762;10.47;f;mixed4;0;test
59;8;Ind21;04185D008F;8.7;m;mixed4;0;test
59;8;Ind22;04185D12B9;8.89;m;mixed4;0;test
59;8;Ind23;04185D1858;9.95;f;mixed4;0;test
59;8;Ind24;04185D1DE6;9.32;m;mixed4;0;test
60;9;Ind19;04185CDFBF;10.33;f;mixed4;0;test
60;9;Ind20;04185CE762;10.47;f;mixed4;0;test
60;9;Ind21;04185D008F;8.7;m;mixed4;0;test
60;9;Ind22;04185D12B9;8.89;m;mixed4;0;test
60;9;Ind23;04185D1858;9.95;f;mixed4;0;test
60;9;Ind24;04185D1DE6;9.32;m;mixed4;0;test
